dataset,repeticiones_configuradas,repeticion,N,distance,accuracy
con_outliers,20,1,19,watson,0.8920863309352518
con_outliers,20,2,19,watson,0.8705035971223022
con_outliers,20,3,19,watson,0.9064748201438849
con_outliers,20,4,19,watson,0.8920863309352518
con_outliers,20,5,19,watson,0.8776978417266187
con_outliers,20,6,19,watson,0.8992805755395683
con_outliers,20,7,19,watson,0.8920863309352518
con_outliers,20,8,19,watson,0.9064748201438849
con_outliers,20,9,19,watson,0.8992805755395683
con_outliers,20,10,19,watson,0.8776978417266187
con_outliers,20,11,19,watson,0.8776978417266187
con_outliers,20,12,19,watson,0.8992805755395683
con_outliers,20,13,19,watson,0.8776978417266187
con_outliers,20,14,19,watson,0.9064748201438849
con_outliers,20,15,19,watson,0.8848920863309353
con_outliers,20,16,19,watson,0.8848920863309353
con_outliers,20,17,19,watson,0.8848920863309353
con_outliers,20,18,19,watson,0.8992805755395683
con_outliers,20,19,19,watson,0.8776978417266187
con_outliers,20,20,19,watson,0.8848920863309353
con_outliers,50,1,19,watson,0.8776978417266187
con_outliers,50,2,19,watson,0.8992805755395683
con_outliers,50,3,19,watson,0.8848920863309353
con_outliers,50,4,19,watson,0.9064748201438849
con_outliers,50,5,19,watson,0.8992805755395683
con_outliers,50,6,19,watson,0.8776978417266187
con_outliers,50,7,19,watson,0.8776978417266187
con_outliers,50,8,19,watson,0.8920863309352518
con_outliers,50,9,19,watson,0.8848920863309353
con_outliers,50,10,19,watson,0.8776978417266187
con_outliers,50,11,19,watson,0.8992805755395683
con_outliers,50,12,19,watson,0.8992805755395683
con_outliers,50,13,19,watson,0.8920863309352518
con_outliers,50,14,19,watson,0.8848920863309353
con_outliers,50,15,19,watson,0.8992805755395683
con_outliers,50,16,19,watson,0.8992805755395683
con_outliers,50,17,19,watson,0.8920863309352518
con_outliers,50,18,19,watson,0.8776978417266187
con_outliers,50,19,19,watson,0.8992805755395683
con_outliers,50,20,19,watson,0.8705035971223022
con_outliers,50,21,19,watson,0.8920863309352518
con_outliers,50,22,19,watson,0.8992805755395683
con_outliers,50,23,19,watson,0.9064748201438849
con_outliers,50,24,19,watson,0.8920863309352518
con_outliers,50,25,19,watson,0.8920863309352518
con_outliers,50,26,19,watson,0.8848920863309353
con_outliers,50,27,19,watson,0.8920863309352518
con_outliers,50,28,19,watson,0.8848920863309353
con_outliers,50,29,19,watson,0.8992805755395683
con_outliers,50,30,19,watson,0.8848920863309353
con_outliers,50,31,19,watson,0.8920863309352518
con_outliers,50,32,19,watson,0.8776978417266187
con_outliers,50,33,19,watson,0.8920863309352518
con_outliers,50,34,19,watson,0.8920863309352518
con_outliers,50,35,19,watson,0.8992805755395683
con_outliers,50,36,19,watson,0.8848920863309353
con_outliers,50,37,19,watson,0.8848920863309353
con_outliers,50,38,19,watson,0.9064748201438849
con_outliers,50,39,19,watson,0.8848920863309353
con_outliers,50,40,19,watson,0.9064748201438849
con_outliers,50,41,19,watson,0.8920863309352518
con_outliers,50,42,19,watson,0.8992805755395683
con_outliers,50,43,19,watson,0.8992805755395683
con_outliers,50,44,19,watson,0.8992805755395683
con_outliers,50,45,19,watson,0.9136690647482014
con_outliers,50,46,19,watson,0.8848920863309353
con_outliers,50,47,19,watson,0.8992805755395683
con_outliers,50,48,19,watson,0.8776978417266187
con_outliers,50,49,19,watson,0.8848920863309353
con_outliers,50,50,19,watson,0.8848920863309353
con_outliers,100,1,19,watson,0.8992805755395683
con_outliers,100,2,19,watson,0.8992805755395683
con_outliers,100,3,19,watson,0.8992805755395683
con_outliers,100,4,19,watson,0.8920863309352518
con_outliers,100,5,19,watson,0.8920863309352518
con_outliers,100,6,19,watson,0.8848920863309353
con_outliers,100,7,19,watson,0.8848920863309353
con_outliers,100,8,19,watson,0.9136690647482014
con_outliers,100,9,19,watson,0.9064748201438849
con_outliers,100,10,19,watson,0.8848920863309353
con_outliers,100,11,19,watson,0.8992805755395683
con_outliers,100,12,19,watson,0.8705035971223022
con_outliers,100,13,19,watson,0.8776978417266187
con_outliers,100,14,19,watson,0.8992805755395683
con_outliers,100,15,19,watson,0.8992805755395683
con_outliers,100,16,19,watson,0.8848920863309353
con_outliers,100,17,19,watson,0.8920863309352518
con_outliers,100,18,19,watson,0.8848920863309353
con_outliers,100,19,19,watson,0.9064748201438849
con_outliers,100,20,19,watson,0.8848920863309353
con_outliers,100,21,19,watson,0.8992805755395683
con_outliers,100,22,19,watson,0.8848920863309353
