url,max_intra,min_inter,url_mas_cercana,access_id_url,access_id_url_mas_cercana,riesgo_solape,solape_exacto
adobe.com,1.4142135623730951,0.0,adnxs.com,1,1,Sí,Sí
aliyuncs.com,2.23606797749979,0.0,adnxs.com,1,1,Sí,Sí
amazon-adsystem.com,1.0,0.0,health.mil,8,1,Sí,Sí
android.com,6.324555320336759,0.0,google-analytics.com,6,10,Sí,Sí
app-analytics-services.com,1.0,0.0,app-measurement.com,1,1,Sí,Sí
app-measurement.com,1.0,0.0,app-analytics-services.com,1,1,Sí,Sí
appsflyersdk.com,2.0,0.0,adnxs.com,1,1,Sí,Sí
baidu.com,5.385164807134504,0.0,myfritz.net,1,5,Sí,Sí
blogspot.com,13.038404810405298,0.0,pki.goog,11,1,Sí,Sí
cnn.com,1.0,0.0,okcdn.ru,1,5,Sí,Sí
dzen.ru,144.1735065814798,0.0,yandex.net,13,3,Sí,Sí
facebook.com,2.8284271247461903,0.0,fbcdn.net,1,3,Sí,Sí
fbcdn.net,3.605551275463989,0.0,facebook.com,3,1,Sí,Sí
forbes.com,28.231188426986208,0.0,tumblr.com,9,3,Sí,Sí
forms.gle,1.4142135623730951,0.0,adnxs.com,1,1,Sí,Sí
github.com,10.0,0.0,kaspersky.com,1,7,Sí,Sí
github.io,7.0,0.0,meraki.com,1,16,Sí,Sí
goo.gl,1.7320508075688772,0.0,appsflyersdk.com,1,3,Sí,Sí
google-analytics.com,10.0,0.0,android.com,10,6,Sí,Sí
google.com,6.324555320336759,0.0,googlesyndication.com,2,1,Sí,Sí
googleadservices.com,1.4142135623730951,0.0,app-analytics-services.com,1,1,Sí,Sí
googleapis.com,2.0,0.0,app-analytics-services.com,1,1,Sí,Sí
googlesyndication.com,6.324555320336759,0.0,google.com,1,2,Sí,Sí
googletagmanager.com,1.4142135623730951,0.0,app-analytics-services.com,1,1,Sí,Sí
googleusercontent.com,1.4142135623730951,0.0,app-analytics-services.com,1,1,Sí,Sí
googlevideo.com,5.0990195135927845,0.0,google.com,3,2,Sí,Sí
gstatic.com,1.0,0.0,app-analytics-services.com,1,18,Sí,Sí
kaspersky.com,24.20743687382041,0.0,github.com,7,1,Sí,Sí
lencr.org,5.0,0.0,yahoo.com,20,3,Sí,Sí
meraki.com,26.0,0.0,github.io,6,5,Sí,Sí
microsoft.com,18.05547008526779,0.0,nist.gov,20,4,Sí,Sí
miui.com,6.082762530298219,0.0,mozilla.org,6,7,Sí,Sí
mozilla.org,11.0,0.0,miui.com,7,6,Sí,Sí
myfritz.net,10.198039027185569,0.0,baidu.com,1,3,Sí,Sí
nist.gov,6.082762530298219,0.0,microsoft.com,4,20,Sí,Sí
okcdn.ru,2.0,0.0,adnxs.com,3,1,Sí,Sí
pki.goog,3.7416573867739413,0.0,blogspot.com,1,11,Sí,Sí
roblox.com,23.600847442411894,0.0,github.com,1,5,Sí,Sí
samsung.com,5.916079783099616,0.0,snapchat.com,4,13,Sí,Sí
