archivo,accesos_originales,outliers_eliminados,accesos_restantes
captura_0000001_H123.csv,20,8,12
captura_0000002_H123.csv,20,4,16
captura_0000003_H123.csv,20,1,19
captura_0000004_H123.csv,20,6,14
captura_0000005_H123.csv,20,5,15
captura_0000008_H123.csv,20,3,17
captura_0000009_H123.csv,20,1,19
captura_0000010_H123.csv,20,1,19
captura_0000011_H123.csv,20,2,18
captura_0000013_H123.csv,20,4,16
captura_0000014_H123.csv,20,11,9
captura_0000017_H123.csv,20,2,18
captura_0000018_H123.csv,20,1,19
captura_0000019_H123.csv,20,3,17
captura_0000020_H123.csv,20,8,12
captura_0000022_H123.csv,20,6,14
captura_0000023_H123.csv,20,3,17
captura_0000024_H123.csv,20,9,11
captura_0000025_H123.csv,20,5,15
captura_0000026_H123.csv,20,1,19
captura_0000027_H123.csv,20,6,14
captura_0000029_H123.csv,20,2,18
captura_0000032_H123.csv,20,9,11
captura_0000033_H123.csv,20,2,18
captura_0000036_H123.csv,20,2,18
captura_0000040_H123.csv,20,3,17
captura_0000043_H123.csv,20,6,14
captura_0000044_H123.csv,20,2,18
captura_0000045_H123.csv,20,5,15
captura_0000046_H123.csv,20,1,19
captura_0000047_H123.csv,20,0,20
captura_0000049_H123.csv,20,3,17
captura_0000050_H123.csv,20,11,9
captura_0000051_H123.csv,20,4,16
captura_0000052_H123.csv,20,2,18
captura_0000053_H123.csv,20,7,13
captura_0000055_H123.csv,20,2,18
captura_0000056_H123.csv,20,9,11
captura_0000057_H123.csv,20,1,19
captura_0000058_H123.csv,20,8,12
captura_0000060_H123.csv,20,2,18
captura_0000063_H123.csv,20,2,18
captura_0000064_H123.csv,20,4,16
captura_0000065_H123.csv,20,4,16
captura_0000066_H123.csv,20,5,15
captura_0000067_H123.csv,20,6,14
captura_0000068_H123.csv,20,3,17
captura_0000069_H123.csv,20,13,7
captura_0000071_H123.csv,20,5,15
captura_0000072_H123.csv,20,2,18
captura_0000073_H123.csv,20,4,16
captura_0000075_H123.csv,20,9,11
captura_0000077_H123.csv,20,6,14
captura_0000079_H123.csv,20,2,18
captura_0000080_H123.csv,20,0,20
captura_0000081_H123.csv,20,2,18
captura_0000082_H123.csv,20,2,18
captura_0000085_H123.csv,20,4,16
captura_0000086_H123.csv,20,0,20
captura_0000088_H123.csv,20,2,18
captura_0000089_H123.csv,20,3,17
captura_0000091_H123.csv,20,3,17
captura_0000093_H123.csv,20,2,18
captura_0000094_H123.csv,20,4,16
captura_0000095_H123.csv,20,5,15
captura_0000096_H123.csv,20,1,19
captura_0000097_H123.csv,20,1,19
captura_0000098_H123.csv,20,2,18
captura_0000099_H123.csv,20,1,19
captura_0000100_H123.csv,20,2,18
captura_0000101_H123.csv,20,3,17
captura_0000102_H123.csv,20,1,19
captura_0000106_H123.csv,20,8,12
captura_0000107_H123.csv,20,0,20
captura_0000109_H123.csv,20,4,16
captura_0000110_H123.csv,20,10,10
captura_0000111_H123.csv,20,2,18
captura_0000113_H123.csv,20,1,19
captura_0000114_H123.csv,20,0,20
captura_0000115_H123.csv,20,2,18
captura_0000117_H123.csv,20,1,19
captura_0000118_H123.csv,20,4,16
captura_0000119_H123.csv,20,3,17
captura_0000120_H123.csv,20,0,20
captura_0000121_H123.csv,20,1,19
captura_0000123_H123.csv,20,0,20
captura_0000124_H123.csv,20,1,19
captura_0000125_H123.csv,20,4,16
captura_0000126_H123.csv,20,3,17
captura_0000127_H123.csv,20,4,16
captura_0000129_H123.csv,20,9,11
captura_0000130_H123.csv,20,1,19
captura_0000131_H123.csv,20,1,19
captura_0000132_H123.csv,20,1,19
captura_0000133_H123.csv,20,5,15
captura_0000134_H123.csv,20,1,19
captura_0000136_H123.csv,20,2,18
captura_0000137_H123.csv,20,13,7
captura_0000138_H123.csv,20,1,19
captura_0000140_H123.csv,20,3,17
captura_0000141_H123.csv,20,2,18
captura_0000142_H123.csv,20,3,17
captura_0000143_H123.csv,20,1,19
captura_0000146_H123.csv,20,4,16
captura_0000148_H123.csv,20,2,18
captura_0000149_H123.csv,20,6,14
captura_0000150_H123.csv,20,9,11
captura_0000151_H123.csv,20,4,16
captura_0000152_H123.csv,20,5,15
captura_0000153_H123.csv,20,1,19
captura_0000154_H123.csv,20,1,19
captura_0000155_H123.csv,20,1,19
captura_0000156_H123.csv,20,4,16
captura_0000158_H123.csv,20,1,19
captura_0000159_H123.csv,20,2,18
captura_0000160_H123.csv,20,2,18
captura_0000164_H123.csv,20,4,16
captura_0000166_H123.csv,20,10,10
captura_0000167_H123.csv,20,2,18
captura_0000168_H123.csv,20,6,14
captura_0000170_H123.csv,20,4,16
captura_0000172_H123.csv,20,2,18
captura_0000175_H123.csv,20,7,13
captura_0000176_H123.csv,20,1,19
captura_0000177_H123.csv,20,3,17
captura_0000178_H123.csv,20,6,14
captura_0000179_H123.csv,20,2,18
captura_0000181_H123.csv,20,3,17
captura_0000183_H123.csv,20,4,16
captura_0000185_H123.csv,20,4,16
captura_0000187_H123.csv,20,4,16
captura_0000190_H123.csv,20,3,17
captura_0000192_H123.csv,20,5,15
captura_0000193_H123.csv,20,6,14
captura_0000194_H123.csv,20,1,19
captura_0000195_H123.csv,20,5,15
captura_0000196_H123.csv,20,2,18
captura_0000197_H123.csv,20,2,18
captura_0000199_H123.csv,20,5,15
