label,num_solapamientos,solapa
telekom.de,30,sí
outlook.com,27,sí
bing.com,23,sí
myfritz.net,22,sí
tumblr.com,19,sí
roblox.com,18,sí
twitter.com,16,sí
digicert.com,16,sí
snapchat.com,16,sí
forbes.com,15,sí
dropbox.com,15,sí
applovin.com,15,sí
lencr.org,14,sí
meraki.com,14,sí
aliyuncs.com,13,sí
opera.com,13,sí
android.com,13,sí
miui.com,13,sí
icloud.com,13,sí
googlevideo.com,12,sí
linkos.bg,12,sí
yandex.net,12,sí
amazonvideo.com,11,sí
tiktokv.com,11,sí
reddit.com,11,sí
samsung.com,11,sí
googleadservices.com,11,sí
linkedin.com,11,sí
europa.eu,11,sí
cloudflare.com,11,sí
doubleclick.net,11,sí
googleusercontent.com,11,sí
forms.gle,10,sí
cloudflare.net,10,sí
yandex.ru,10,sí
sciencedirect.com,10,sí
youtu.be,10,sí
workers.dev,10,sí
archive.org,9,sí
github.io,9,sí
intuit.com,9,sí
googleapis.com,9,sí
epicgames.com,9,sí
ui.com,9,sí
x.com,9,sí
skype.com,9,sí
whatsapp.net,9,sí
pinterest.com,9,sí
fbcdn.net,8,sí
windows.net,8,sí
adobe.com,8,sí
dzen.ru,8,sí
casalemedia.com,8,sí
baidu.com,8,sí
instagram.com,8,sí
dns.google,8,sí
wordpress.org,8,sí
nist.gov,8,sí
apache.org,7,sí
google-analytics.com,7,sí
youtube.com,7,sí
microsoft.com,7,sí
googletagmanager.com,7,sí
sentry.io,7,sí
nih.gov,7,sí
zoom.us,7,sí
amazon.com,6,sí
vk.com,6,sí
office.com,6,sí
paypal.com,6,sí
cloudflare-dns.com,6,sí
t-online.de,6,sí
googlesyndication.com,6,sí
apple.com,6,sí
blogspot.com,6,sí
pki.goog,6,sí
live.com,5,sí
mts.ru,5,sí
rubiconproject.com,5,sí
adobe.io,5,sí
kaspersky.com,5,sí
office365.com,5,sí
w3.org,5,sí
mozilla.org,5,sí
azure.com,5,sí
gravatar.com,5,sí
medium.com,4,sí
ntp.org,4,sí
theguardian.com,4,sí
whatsapp.com,4,sí
userapi.com,4,sí
nytimes.com,4,sí
t.me,4,sí
yahoo.com,4,sí
wordpress.com,4,sí
criteo.com,4,sí
windows.com,3,sí
nic.ru,3,sí
adriver.ru,3,sí
wikipedia.org,3,sí
flickr.com,3,sí
github.com,3,sí
facebook.com,3,sí
sharepoint.com,3,sí
goo.gl,3,sí
msn.com,3,sí
googledomains.com,3,sí
nginx.com,3,sí
tiktok.com,3,sí
appsflyersdk.com,2,sí
bit.ly,2,sí
google.com,2,sí
soundcloud.com,2,sí
telekom.net,2,sí
trbcdn.net,2,sí
gmail.com,2,sí
okcdn.ru,2,sí
qq.com,2,sí
mail.ru,2,sí
wildberries.ru,1,sí
vimeo.com,1,sí
netflix.com,1,sí
ivi.ru,1,sí
nginx.org,1,sí
spotify.com,1,sí
adnxs.com,0,no
amazon-adsystem.com,0,no
app-analytics-services.com,0,no
cnn.com,0,no
gandi.net,0,no
discord.gg,0,no
gstatic.com,0,no
health.mil,0,no
fastly.net,0,no
app-measurement.com,0,no
t.co,0,no
one.one,0,no
unity3d.com,0,no
xiaomi.com,0,no
